target_label,target_mz,window_ppm,setting,g_bin,g_lo,g_hi,g_center,n_total,n_good,p_success,median_success_ppm,mad_success_ppm,frac_tail3
T05,816.22,30.0,ModeA_points,0,0.0,0.0,0.0,20,20,1.0,0.1913765812656658,0.42522146813777884,0.0
T05,816.22,30.0,ModeB_points,0,0.0,0.0,0.0,8,7,0.875,-0.60257454533191,0.38682700585532537,0.0
T05,816.22,30.0,ModeA_points,1,0.0,0.0,0.0,8,7,0.875,-0.3108269566848403,0.35980291796808395,0.0
T05,816.22,30.0,ModeB_points,1,0.0,0.0,0.0,20,18,0.9,-0.2462283041489881,0.6878055353917527,0.0
T05,816.22,30.0,ModeA_points,2,0.0,0.0,0.0,11,11,1.0,-0.2757476385809472,0.7265994431641563,0.0
T05,816.22,30.0,ModeB_points,2,0.0,0.0,0.0,8,8,1.0,-0.41079548787869236,0.3716180976974126,0.0
T05,816.22,30.0,ModeA_points,3,0.0,0.0,0.0,8,8,1.0,0.02611489167462988,0.4339233635806532,0.0
T05,816.22,30.0,ModeB_points,3,0.0,0.0,0.0,17,16,0.9411764705882353,-0.628528512460508,0.41891590365233045,0.0
T05,816.22,30.0,ModeA_points,4,0.0,0.00021834508988351643,0.00010917254494175821,13,13,1.0,0.22068306848877484,0.22753752179352738,0.0
T05,816.22,30.0,ModeB_points,4,0.0,0.00021834508988351643,0.00010917254494175821,8,7,0.875,-0.2320819644088532,0.19065377050149923,0.0
T05,816.22,30.0,ModeA_points,5,0.00023996203453704985,0.0007853330412628053,0.0005126475378999276,8,8,1.0,-1.099655613232382,1.1289873538474096,0.0
T05,816.22,30.0,ModeB_points,5,0.00023996203453704985,0.0007853330412628053,0.0005126475378999276,8,8,1.0,-0.9805820632439413,0.13733012189173754,0.0
T05,816.22,30.0,ModeA_points,6,0.0008910316481330952,0.002436479479628855,0.0016637555638809752,20,19,0.95,-0.6362622009635741,0.6326859820872368,0.0
T05,816.22,30.0,ModeB_points,6,0.0008910316481330952,0.002436479479628855,0.0016637555638809752,8,7,0.875,-0.6647185950143699,1.0895893956374207,0.0
T05,816.22,30.0,ModeA_points,7,0.0027082085122655773,1.0,0.5013541042561328,440,155,0.3522727272727273,-0.5573538737731295,0.9228202954287302,0.0
T05,816.22,30.0,ModeB_points,7,0.0027082085122655773,1.0,0.5013541042561328,449,142,0.31625835189309576,-1.117903426363677,1.0319681020218368,0.0
